Basho,Araiso,Asahiyama[1],Azumazeki,Fujishima[1],Furiwake,Futagoyama[1],Hanakago[1],Hanakago[2],Hanakago[3],Hanaregoma[1],Hatachiyama,Isegahama[2],Izutsu[2],Izutsu[3],Kabutoyama,Kagamiyama,Kasugayama[1],Kasugayama[2],Kasugayama[3],Kiriyama[2],Kise[1],Kumagatani[1],Kumagatani[2],Magaki[2],Magaki[3],Michinoku[1],Mihogaseki[1],Mihogaseki[2],Minatogawa[1],Minatogawa[2],Minezaki,Miyagino[1],Nakagawa[3],Nakagawa[4],Nakamura[1],Nakamura[2],Nishikijima,Nishonoseki[2],Oguruma,Oitekaze[3],Onaruto[1],Onaruto[2],Onogawa[3],Oshima[1],Oshiogawa[2],Oyama,Sadogatake[1],Sanoyama[1],Sanoyama[2],Shikihide[2],Tagonoura[2],Takanohana,Takashima[1],Takashima[2],Takekuma[2],Takekuma[3],Tamanoi[1],Tanigawa[1],Tanigawa[2],Tatekawa,Tatsutagawa,Tatsutayama[2],Tomozuna,Urakaze,Wakafuji,Wakamatsu,Yamawake
1889.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1890.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1891.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-2-Maegashira #1 Kaizan-HB-99--Tamagaki-,,,,
1892.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-2-Maegashira #1 Kaizan--99-,,,,
1892.06,,,,,,,,,,,,,,,,,,,,,,1-1-Maegashira #1 Hiodoshi--41-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-2-Maegashira #1 Kaizan--99-,,,,
1893.01,,,,,,,,,,,,,,,,,,,,,,1-1-Maegashira #1 Hiodoshi--41-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-2-Maegashira #1 Kaizan--99-,,,,
1893.05,,,,,,,,,,,,,,,,,,,,,,1-1-Maegashira #1 Hiodoshi--41-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-3-Maegashira #1 Kaizan--99-,,,,
1894.01,,,,,,,,,,,,,,,,,,,,,,1-1-Maegashira #1 Hiodoshi--41-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3-3-Maegashira #1 Kaizan--99-,,,,
